f1,f2,value
"ES EAS Manual de Usuario.txt","ES EBIMAP Anexo Sintaxis JavaScript.txt",0.14586785710729644
"ES EAS Manual de Usuario.txt","ES EBIMAP Manual de usuario.txt",0.24421591160235306
"ES EAS Manual de Usuario.txt","ES EBIMON Manual Usuario.txt",0.294256331697841
"ES EAS Manual de Usuario.txt","ES EDICOM TSA Manual de usuario.txt",0.23987681153804233
"ES EAS Manual de Usuario.txt","ES EDICOMDATA Manual de usuario.txt",0.3365734699702149
"ES EAS Manual de Usuario.txt","ES EDICOMNET Manual Usuario.txt",0.525432520760637
"ES EAS Manual de Usuario.txt","ES EDICOMSuite Manual de usuario.txt",0.5197147615366502
"ES EAS Manual de Usuario.txt","ES EDIWIN ASP Manual de usuario.txt",0.5562857539594668
"ES EAS Manual de Usuario.txt","ES EDIWIN Manual Usuario.txt",0.44426090856831163
"ES EAS Manual de Usuario.txt","ES EDIWIN Message Viewer Manual de usuario.txt",0.5303859021208762
"ES EAS Manual de Usuario.txt","ES EDIWIN Message viewer Manual de usuario_ayunt_VLC.txt",0.38274403798232043
"ES EAS Manual de Usuario.txt","ES EDIWIN Viewer Extendido Manual de usuario.txt",0.5225754663997909
"ES EAS Manual de Usuario.txt","ES EDIWINMONITOR Manual de usuario.txt",0.5011150592808742
"ES EAS Manual de Usuario.txt","ES EOS Manual de usuario.txt",0.6841979812159406
"ES EAS Manual de Usuario.txt","ES RAEDICOM Manual de Usuario.txt",0.37210612852836566
"ES EAS Manual de Usuario.txt","ES WebService Inditex Guia de usuario.txt",0.3572592791768138
"ES EAS Manual de Usuario.txt","ES_BMPAYROLLS_manual_de_usuario_publicador.txt",0.47788659903638847
"ES EAS Manual de Usuario.txt","ES_BMPHARMA_manual_de_usuario_destinatario.txt",0.4638135438761909
"ES EAS Manual de Usuario.txt","ES_BMPHARMA_manual_de_usuario_publicador.txt",0.49061112574710913
"ES EAS Manual de Usuario.txt","ES_MANUAL_EBI - Edicom Business Integrator.txt",0.4798790314002654
"ES EAS Manual de Usuario.txt","ES_MANUAL_EBI_anexo_EbimanagerWeb.txt",0.5692405955955754
"ES EAS Manual de Usuario.txt","ES_MANUAL_EBI_anexo_integracion_ftp.txt",0.2220112565277334
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES Business@Mail Payrolls - Manual de usuario.txt",0.1804868613249779
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES CRP FLOW Manual de usuario.txt",0.24035505692448372
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES DVD Manual de Usuario.txt",0.2637373297634416
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EAS Manual de Usuario.txt",0.25422250868118285
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EBIMAP Anexo Funciones EdiwinScript.txt",1.0000000000000002
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EBIMAP Anexo Sintaxis JavaScript.txt",0.33864447047000856
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EBIMAP Manual de usuario.txt",0.4256277121531066
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EBIMON Manual Usuario.txt",0.19311686239072895
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDICOM TSA Manual de usuario.txt",0.14849024314582313
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDICOMDATA Manual de usuario.txt",0.16671819295683843
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDICOMNET Manual Usuario.txt",0.18246528305787518
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDICOMSuite Manual de usuario.txt",0.2403730792833615
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDIWIN ASP Manual de usuario.txt",0.31218098254507265
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDIWIN Manual Usuario.txt",0.3277178842866938
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDIWIN Message Viewer Manual de usuario.txt",0.30798350015117565
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDIWIN Message viewer Manual de usuario_ayunt_VLC.txt",0.2825477470560006
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDIWIN Viewer Extendido Manual de usuario.txt",0.31658605009609647
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EDIWINMONITOR Manual de usuario.txt",0.2739082100945276
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES EOS Manual de usuario.txt",0.20396274205357434
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES RAEDICOM Manual de Usuario.txt",0.17559088790215632
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES WebService Inditex Guia de usuario.txt",0.21025211774802216
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES_BMPAYROLLS_manual_de_usuario_publicador.txt",0.21408006732711463
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES_BMPHARMA_manual_de_usuario_destinatario.txt",0.222152600328602
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES_BMPHARMA_manual_de_usuario_publicador.txt",0.22535237816736162
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES_MANUAL_EBI - Edicom Business Integrator.txt",0.3857827369784286
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES_MANUAL_EBI_anexo_EbimanagerWeb.txt",0.24871308126160174
"ES EBIMAP Anexo Funciones EdiwinScript.txt","ES_MANUAL_EBI_anexo_integracion_ftp.txt",0.16953115042545555
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES Business@Mail Payrolls - Manual de usuario.txt",0.12319911179860596
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES CRP FLOW Manual de usuario.txt",0.17052534973450778
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES DVD Manual de Usuario.txt",0.1850027593794014
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EAS Manual de Usuario.txt",0.14586785710729644
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EBIMAP Anexo Funciones EdiwinScript.txt",0.33864447047000856
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EBIMAP Anexo Sintaxis JavaScript.txt",1.0000000000000002
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EBIMAP Manual de usuario.txt",0.2472330302878935
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EBIMON Manual Usuario.txt",0.17462962402891585
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDICOM TSA Manual de usuario.txt",0.3168262602650326
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDICOMDATA Manual de usuario.txt",0.12256913047314036
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDICOMNET Manual Usuario.txt",0.1418179552303091
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDICOMSuite Manual de usuario.txt",0.12295462164704057
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDIWIN ASP Manual de usuario.txt",0.19679259853165754
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDIWIN Manual Usuario.txt",0.18328962060191567
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDIWIN Message Viewer Manual de usuario.txt",0.19238866732354157
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDIWIN Message viewer Manual de usuario_ayunt_VLC.txt",0.18066182509911619
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDIWIN Viewer Extendido Manual de usuario.txt",0.19964926683630632
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EDIWINMONITOR Manual de usuario.txt",0.16147723973597247
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES EOS Manual de usuario.txt",0.12013753303877835
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES RAEDICOM Manual de Usuario.txt",0.1295173733043372
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES WebService Inditex Guia de usuario.txt",0.17561676832674386
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES_BMPAYROLLS_manual_de_usuario_publicador.txt",0.13409268946133623
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES_BMPHARMA_manual_de_usuario_destinatario.txt",0.13887797916343045
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES_BMPHARMA_manual_de_usuario_publicador.txt",0.13782572433261714
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES_MANUAL_EBI - Edicom Business Integrator.txt",0.2882197259359699
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES_MANUAL_EBI_anexo_EbimanagerWeb.txt",0.1492778225608323
"ES EBIMAP Anexo Sintaxis JavaScript.txt","ES_MANUAL_EBI_anexo_integracion_ftp.txt",0.09548383150300856
"ES EBIMAP Manual de usuario.txt","ES Business@Mail Payrolls - Manual de usuario.txt",0.22890797787665415
"ES EBIMAP Manual de usuario.txt","ES CRP FLOW Manual de usuario.txt",0.4699868617625548
"ES EBIMAP Manual de usuario.txt","ES DVD Manual de Usuario.txt",0.2911768301895761
